order_id,order_date,ship_date,ship_mode,customer_id,region,product_id,category,sales,quantity,profit,transit_date
CA-2020-152156,2020-11-08,2020-11-11,Second Class,CG-12520,South,FUR-BO-10001798,,262.0,2,41.9,3
CA-2020-152156,2020-11-08,2020-11-11,Second Class,CG-12520,South,FUR-CH-10000454,Furniture,731.9,3,219.6,3
CA-2020-138688,2020-06-12,2020-06-16,,DV-13045,West,OFF-LA-10000240,Office Supplies,14.6,2,6.9,4
US-2019-108966,2019-10-11,2019-10-18,Standard Class,SO-20335,South,FUR-TA-10000577,Furniture,957.6,5,-383.0,7
US-2019-108966,2019-10-11,2019-10-18,Standard Class,SO-20335,South,OFF-ST-10000760,Office Supplies,22.4,2,2.5,7
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,West,FUR-FU-10001487,Furniture,48.9,7,14.2,5
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,West,OFF-AR-10002833,Office Supplies,7.3,4,2.0,5
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,West,TEC-PH-10002275,Technology,907.2,6,90.7,5
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,West,OFF-BI-10003910,Office Supplies,18.5,3,5.8,5
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,West,OFF-AP-10002892,Office Supplies,114.9,5,34.5,5
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,West,FUR-TA-10001539,Furniture,1706.2,9,85.3,5
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,West,TEC-PH-10002033,Technology,911.4,4,68.4,5
CA-2021-114412,2021-04-15,2021-04-20,Standard Class,AA-10480,South,OFF-PA-10002365,Office Supplies,15.6,3,5.4,5
CA-2020-161389,2020-12-05,2020-12-10,Standard Class,IM-15070,West,OFF-BI-10003656,Office Supplies,408.0,3,132.6,5
US-2019-118983,2019-11-22,2019-11-26,Standard Class,HP-14815,Central,OFF-AP-10002311,Office Supplies,68.8,5,-123.9,4
US-2019-118983,2019-11-22,2019-11-26,Standard Class,HP-14815,Central,OFF-BI-10000756,Office Supplies,2.5,3,-3.8,4
CA-2018-105893,2018-11-11,2018-11-18,Standard Class,PK-19075,Central,OFF-ST-10004186,Office Supplies,665.9,6,13.3,7
CA-2018-167164,2018-05-13,2018-05-15,Second Class,AG-10270,West,OFF-ST-10000107,Office Supplies,55.5,2,10.0,2
CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925,West,OFF-AR-10003056,Office Supplies,8.6,2,2.5,5
CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925,West,TEC-PH-10001949,Technology,213.5,3,16.0,5
CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925,West,OFF-BI-10002215,Office Supplies,22.7,4,7.4,5
CA-2020-137330,2020-12-09,2020-12-13,Standard Class,KB-16585,Central,OFF-AR-10000246,Office Supplies,19.5,7,5.1,4
CA-2020-137330,2020-12-09,2020-12-13,Standard Class,KB-16585,Central,OFF-AP-10001492,Office Supplies,60.3,7,15.7,4
US-2021-156909,2021-07-16,2021-07-18,Second Class,SF-20065,East,FUR-CH-10002774,Furniture,71.4,2,-1.0,2
